,,,入所,,,,,,,出所,,,,,,,,,,管理人力資源,
縣市別,可留容動物最大值,106/12/31在養數,政府捕捉,拾獲送交,不擬續養,動物救援,依法沒入,其他,合計入所數,認領,認養,依法人道處理,所內死亡,飭回原地,逃脫,其他,合計出所,107/12/31在養數,在養佔可留容比例,收容所管理人員,駐場獸醫
新北市,1615,1368,3234,2054,130,465,0,342,6225,637,5218,0,337,12,22,65,6291,1302,81%,74,15
臺北市,610,351,47,369,166,2415,0,18,3015,577,1850,5,117,0,29,1,2579,787,129%,28,10
臺中市,500,451,3221,2582,270,899,26,0,6998,379,3271,24,721,2479,36,0,6910,539,88%,46,13
臺南市,700,365,3862,3345,194,22,0,0,7423,250,4089,0,261,2219,14,0,6833,955,136%,17,29
高雄市,800,549,2651,387,85,727,36,199,4085,154,3239,0,239,0,10,250,3892,731,91%,15,13
桃園市,652,419,2193,739,135,638,0,20,3725,112,2121,26,120,884,37,251,3551,593,91%,20,6
宜蘭縣,330,123,869,174,144,20,0,0,1207,100,497,24,134,0,0,333,1088,242,73%,10,5
新竹縣,32,46,97,175,46,50,0,0,368,22,301,0,32,13,3,0,371,43,134%,3,1
苗栗縣,220,138,741,199,24,37,0,2,1003,26,288,23,171,565,26,0,1099,42,19%,2,2
彰化縣,161,137,93,325,24,107,3,0,552,18,491,0,36,0,25,0,570,119,74%,4,2
南投縣,300,314,85,142,23,66,2,2,320,31,268,1,28,0,1,0,329,305,102%,7,2
雲林縣,250,250,737,0,5,17,0,0,759,1,485,0,76,0,3,0,565,444,178%,NA,NA
嘉義縣,110,119,150,16,6,4,0,55,231,19,177,3,34,0,4,0,237,113,103%,3,3
屏東縣,100,32,25,27,7,106,1,193,359,8,239,1,1,0,0,2,251,140,96%,5,2
臺東縣,120,12,42,505,32,3,0,2,584,41,515,7,8,0,6,0,577,19,16%,3,1
花蓮縣,100,89,253,105,0,13,4,67,442,20,273,11,24,115,2,0,445,86,86%,2,1
澎湖縣,160,104,230,178,18,16,0,11,453,23,260,37,75,0,13,0,408,149,93%,2,1
基隆市,100,99,311,137,5,54,6,4,517,100,351,0,57,1,11,9,529,87,87%,4,2
新竹市,90,65,154,66,31,17,0,13,281,25,188,6,42,0,1,2,264,82,91%,5,1
嘉義市,100,36,100,128,37,0,10,19,294,21,259,5,11,0,1,1,298,32,32%,3,1
金門縣,200,64,612,135,11,15,0,4,777,48,220,1,30,480,0,0,779,62,31%,3,2
連江縣,120,40,24,0,3,0,0,0,27,0,24,0,3,0,0,0,27,40,33%,2,1
總計  ,7370,5171,19731,11788,1396,5691,88,951,39645,2612,24624,174,2557,6768,244,914,37893,6912,92%,258,113
